claim,label
"Her 4 işsizden biri üniversitelidir. Üniversite mezunu işsizlik oranı yüzde 12,1 olarak gerçekleşmiştir.",true
Avrupa’da bir partinin yüzde 41 alması bir hayaldir.,false
Asylbewerber erhalten Führerschein trotz ungültiger Papiere.,mostly true
AK Parti'nin iktidara geldiği 2002'den sonra çocuklara ilişkin devlet eliyle ortaya çıkan yaşam hakkı ihlallerinde ciddi bir artış var,mostly false
"AK Parti iktidara geldiğinde 50 TL’ye 85 litre benzin alıyorduk, şimdi 7 litre benzin alıyoruz.",mostly false
Takvim'in Büyükada'da yapıldığını iddia ettiği toplantının görseli New Orleans'tan,false
هیلاری کلینتون در کتاب خاطرات خود گفته به ۱۱۲ کشور سفر کردم تا داعش را به رسمیت بشناسند.,false
بیش از ۴۰۰ هزار دانش آموز افغانستانی در مدارس ایران تحصیل می‌کنند و به طور متوسط هر دانش‌آموز ۶۰۰ یورو هزینه دارد.,mostly true
Şu anda iş uyuşmazlıklarında arabuluculuğa giden dosyaların neredeyse yüzde 90'ı çözülüyor. Çok büyük bir başarı oranı var.,true
"Cumhurbaşkanı bütçelerine bakalım. Ahmet Necdet Sezer'in 7 yılda harcadığı 167,4 milyon lira. Abdullah Gül 7 yılda 722 milyon lira harcadı. Erdoğan'ın, 1,5 yılda harcadığı para 2 milyar 800 milyon lira.",mostly true
"3 Ekim'den beri TL'nin kaybettiği değer, aynı dönem içinde Rus rublesinin kaybettiği değerden üç kat daha fazla.",true
Çocuk suçluluk oranları son 5 yılda yüzde 100 arttı..,mostly true
Was passiert in Deutschland? Wieso berichten die Medien sowas nicht??,mostly false
Die Statistiken für Corona-Tote würden in der EU gefälscht.,mostly false
Ankara’da asbestli su borularının yenilenmesinin AK Partili ve MHP’li üyelerin oylarıyla reddedildiği iddiası,true
Otoriter rejimlerde enflasyon oranları demokrasilerdeki ortalamanın neredeyse 20 katı.,mostly true
İstanbul'da tersine göç başladı. Son iki yılda gelen giden sayısını karşılaştırdığınızda giden sayısı daha fazla.,mostly false
Man muss Prioritäten setzen.,true
"(Suriyeli sığınmacılar için hükümete) 10 milyar harcadıklarını söylüyorlar ya, külliyen yalandır. 1 milyar dolar bile harcamadılar.",false
Der abgeholzte Wald hätte mehr CO2 aufgenommen als durch die Windräder gespart wird,false
İsrail Devleti’nin kurucusu Ben Gurion'un İstanbul Üniversitesi’nde eğitim gördüğü iddiası,true
"(OECD raporunda) Türkiye'de rüşvet, yolsuzluk ve kara para aklamadan söz ediyor...İlk kez Türkiye bu kadar net bir uluslararası raporda yolsuzluk konusunda yer alıyor.",true
Arbeitslose werden zur Arbeit gezwungen und normale Jobs werden gefährdet,mostly false
Bazı İsrail vatandaşlarının protesto için topluca Arapça dersi almaya başladığı iddiası,true
Özel Harekat Başkanlığı yabancı telefon numaralarıyla ilgili uyarı yapmadı,false
Salvador Dali için İstanbul’da lokma döküldüğü iddiası,true
Starbucks'ın Suudi Arabistan'da farklı logo kullandığı iddiası,mostly false
Videonun qəzanı göstərdiyi iddiası,false
"2002’de devlet bütçesinden ayrılan eğitim yatırımlarının oranı yüzde 17,18 iken 2017 yılına gelindiğinde eğitim için harcanan para yüzde 8,51’e düşmüştür.",true
"Rusya'dan gelen turist sayısı, geçen yılın ocak-kasım dönemine göre 645 bin azaldı, asıl kayıp ise turizm gelirinde yaşandı, 2,5 milyar dolarlık kayıp oldu.",mostly true
Diese Mädchen sind schwanger,false
Täter von Volkmarsen ist muslimischer Marokkaner mit deutschem Pass,false
Thomas Edison’un son nefesinin bir kapsülde saklandığı iddiası,false
Japonya’da lise mezunu olmayanlar oy veremiyor mu?,false
Sandık kurullarının kullanacağı tutanaklarda kanuna aykırı değişiklik yapıldığı iddiası,mostly false
Eski futbolcu George Weah'in Liberya Cumhurbaşkanı seçildiği iddiası,false
"İnsani gelişmişlikte ilk 20 ülkenin 16’sı parlamenter demokrasiyle, 2’si başkanlıkla yönetiliyor. Son 20'nin 15’inde ise başkanlık sistemi var.",true
وابستگی بودجه کشور به درآمد‌های نفتی به ۳۰ درصد کاهش یافته است.,false
Yurtiçi tasarrufları AK Parti iktidarı döneminde cumhuriyet tarihinin en düşük seviyesine düştü.,mostly true
۲ درصد از کل صفحات وب دنیا به زبان فارسی‌ است و در این حوزه زبان فارسی از عربی و چینی پیشی گرفته است,mostly true
"Dünyada şu an itibarıyla elektronik ticaretin toplam ticaretten aldığı pay Çin’de yüzde 16’da, gelişmekte olan ülkelerde yüzde 6-7, Türkiye’de ise yüzde 1,5 seviyesinde.",mostly false
Fotoğrafın AK Parti milletvekili Radiye Sezer Katırcıoğlu'nun camide konuşma yaptığını gösterdiği iddiası,true
Grünen Luxusautos auf Behindertenparkplätze,false
Pensilvanya'da Gülen'in evine giden yollarda AK Parti reklamları,true
Fotoğrafın Sümela Manastırı’ndaki tahribatı gösterdiği iddiası,true
13 yıl içinde siyasette vaat edileni mutlaka yerine getiren bir tavır sergiledik. Vaat ettiğimiz hiçbir şey eksik kalmadı.,false
"Türkiye'de gelir dağılımı düzeliyor. 2002 yılında en fakirle en zengin arasındaki gelir farkı ne kadardı? 9,5 kattı. Bugün ne kadar? 7,4 kat.",mostly true
"Göreve geldiğimizde turist sayısı 13 milyondu, bugün 40 milyonu aştı",mostly true
"Resmi olmayan rakamlara göre işsiz sayısı 5,5 milyona dayandı.",true
"PCR-Test kann Verletzungen, Entzündungen und Krankheiten verursachen",false
"Bugün 178 tane ülke içinde Türkiye'nin kırılganlık endeksine, küresel endekse baktığımız zaman 112'de. Bizden daha iyi kimler var? Senegal, Cezayir, Nikaragua bunlar bizden daha az kırılgan",true
Kadına karşı şiddeti önlemede tek başına eğitim de bir şey ifade etmiyor. Tahsil arttıkça dayağın dozu da artıyor,false
"Ülkemiz hala OECD ülkelerinin doğumda beklenen yaşam süresine ulaşamamıştır, üstelik bu haliyle ulaşması da beklenmemektedir.",mostly true
قطعی اینترنت یک موضوع منحصر به ایران نیست. در یک‌ سال گذشته ۱۹ بار قطعی اینترنت به دلایل امنیتی در هندوستان، پاکستان، عراق و کشورهای دیگر داشته‌ایم.,mostly true
"(ABD’de) milletvekilleri kürsüye çıkar istedikleri kadar konuşurlar, süre kısıtlaması yoktur.",mostly false
بر اساس شاخص برابری جنسیت، ایران رتبه نخست دنیا در عدالت آموزشی و تحصیلی است.,false
"580 Meter lange Strasse in Hamburg für Diesel gesperrt, Ausweichroute 3,4 Kilometer lang",mostly true
Havalimanındaki restoran ve bu restoranın Bilal ve Sümeyye Erdoğan'la bağlantısı hakkındaki iddialar,mostly false
"Wer für eine Haftstrafe für Carola Rackete sei, solle eine SMS mit „seawatch10“ senden",false
"Özel yatlar için yakıtın litresi 1,25 liradan alınıyor, çiftçiler ise traktör ve biçerdöverde kullanmak için aldıkları mazot için 3,45 lira ödüyor.",false
Turizmde müspet bir çizgimiz var. Bu yılın ilk 9 ayında 4 milyonu aşkın Rus turisti ülkemizde ağırlama imkânımız oldu.,true
Fotoğrafın Antik Mısır’a ait fildişinden bir paleti gösterdiği iddiası,true
"WHO gab bekannt, dass ein Corona-Infizierter ohne Symptome das Virus nicht übertragen kann",false
İsrail Devleti’nin kurucusu Ben Gurion'un İstanbul Üniversitesi’nde eğitim gördüğü iddiası,true
Türkiye baklagillerde net ithalatçı ülke durumundadır.,true
(به نقل از ملیندا گیتس) سریع‌ترین کاهش نرخ فرزندآوری در تاریخ جهان در ایران اتفاق افتاده است.,mostly false
"Gazeteci Bülent Mumay, referandumla ilgili Türkçe manşet atan Blick'e transfer oldu iddiası",false
Coronavirus befällt ersten Hund,mostly true
Feuerlöschpulver im Supermarkt in Einbeck,mostly false
شهروندان افغانستانی در ایران دو میلیون فرصت شغلی دارند و سالانه سه تا چهار میلیارد یورو از کشور ما خارج می‌کنند.,false
SPD Scharia Partei Deutschlands,mostly false
Fotoğrafın Katar Emiri'nin uçakla getirdiği dolarları gösterdiği iddiası,false
Ambalajlardaki (F) işaretinin içeceklerdeki mısır şurubunu gösterdiği iddiası,true
11 rektör iki sene içerisinde atandı. Bu rektörlerin hepsi ilahiyat mezunu,true
Vergewaltigungen durch Ausländer sind straffrei.,mostly false
Ortadoğu'dan Türkiye'ye sığınan hiç kimse mülteci statüsü alamıyor. Sadece Avrupa'dan gelen sığınmacılar bu statüyü alabiliyorlar.,true
Fotoğrafın Sezgin Tanrıkulu’nun YPG flamalı tablonun önünde poz verdiğini gösterdiği iddiası,false
"Belediye ne yapmış, Türkiye’nin en pahalı suyunu satmış, Ankara birinci.",mostly true
در زمان بحران کرونا، دولت کانادا به همه شهروندانش ۲۰۰۰دلار در ماه کمک مالی می‌کند و برای همه مایحتاج خوراکی ارسال می‌کند.,false
طی سال‌های آینده جامعه ایران با سونامی سالمندی روبه‌رو خواهد شد.,mostly true
AKP döneminde Türkiye dış ticaret açığında 2005 dışında her yıl ilk 10’da yer aldı. Son 5 yıldır ise 5 ila 6’ncı sırada yer alıyor.,mostly false
Kayseri Uçak Fabrikası ve fabrikada üretilen uçaklarla ilgili iddialar,mostly false
Dünya sıralamasında altyapı gelişmişliği bakımından Türkiye 2003'te 39. sırada şimdi 9. sırada.,false
Sandra Bullock'un genç kalabilmek için çocuk derisini vücuduna enjekte ettirdiği iddiası,mostly false
"Peki zeytin üretiminde Türkiye'yi dünya ikincisi yapan kim, AK Parti.",false
Spider-Man oyununda türbanlı kadının Spider-Man'e sarılmadığı iddiası,mostly false
Billy Six filmt angeblich in menschenleeren Kliniken,mostly false
"Was passiert, wenn die Grünen (Kopftücher im Bild sind reiner Zufall), ohne den Bauern zu fragen, eine unangemeldete Veranstaltung auf seinem Boden durchführen und dabei den Acker zertrampeln?“",mostly false
1 milyon kişiye düşen araştırmacı sayımız Avrupa ortalamasının 3’te 1’i oranında.,mostly false
از نشانه‌های آزادی بیان در ایران، وجود صدها روزنامه و سایت، تلگرام و واتس‌اپ و دسترسی مردم به آخرین اطلاعات است.,mostly false
Man muss Prioritäten setzen.,true
Merkez Bankası'ndaki rezervimiz de 117 milyar dolar seviyesine çıkmış bulunuyor.,true
20 Asylwerber traten in Hungerstreik: Sie fordern 2.000 Euro netto Taschengeld,mostly true
Putin erklärt die vollständige Unabhängigkeit von Rothschild-kontrolliertem US-Dollar,mostly false
Ein Buch mit vulgären Begriffen für Sex wird in deutschen Schulen benutzt.,mostly false
Maas will Ebola-Patienten evakuieren um Masseninfektion in Deutschland auszulösen; jeder Patient kostet 2 Millionen Euro,false
Videonun Türkiye tarafından yapılan bombalamayı gösterdiği iddiası,false
2002'den bugüne kadar öğrenci sayısı 1 buçuk milyondan 5 buçuk milyona yükseldi.,mostly true
Türkiye'ye giren sermaye dijital sermayedir. Sadece bilgisayar ekranlarında görünen bu sermaye istihdamı ve üretimi arttırmıyor.,mostly false
Ocak ayında son 12 yılın en yüksek yolcu trafiği gerçekleşmiş oldu.,true
Rossmann-Drogerie ändert sein Namen in Rossfrau.,mostly true
Hollanda’nın tarım geliri kaç milyon dolar bizim ise yarısını bile bulmuyor.,true
"Ülkemiz, 2016’da yaptığı 6 milyar dolarlık insani kalkınma yardımlarıyla, bu alanda rakam olarak dünyada ikinci sırada, milli gelirine oranla da ilk sırada yer almaktadır.",mostly true
Lawrow: Skripal-Gift durch Schweizer Labor als BZ aus Nato-Arsenal identifiziert,false
Gegenüberstellung zweier Zeit-Online-Artikel,mostly false
"heute abend ab 23.30 uhr sollte niemand auf der straße sein. türen und fenster sollten geschlossen bleiben, da 5 hubschrauber desinfektionsmittel in die luft sprühen, um das coronavirus auszurotten.",false
Sexuelle Übergriffe durch Zuwanderer haben sich von 2014 bis 2018 versechsfacht,mostly false
"2002’de göreve geldiğimizde 848 bin olan lisanslı sporcu sayısı, şu anda 8 milyon 105 bin.",mostly true
Asylanten bekomm eine warme Unterkunft gestellt. Nur der deutsche Obdachlose muss draußen bei 13 Grad minus schlafen.,mostly false
"OECD ülkelerinde on bin kişiye 37 doktor düşüyor. Bu sayı bizde 17, Yunanistan’da 72. On bin nüfusa 17 hekimin düştüğü bir ülkede dünya ile yarışan bir sağlık hizmeti vermeye çalışıyoruz.",mostly true
"(Çanakkale’deki 4 adet) Mevcut termik santrale, yakın zamanda 15 termik kömür santralinin eklenmesi planlanıyor. 16 bin 828 MW kurulu güce sahip olacak 19 santralin sadece 504 MW kapasiteli olan 3'ü yerli kömür kullanacak.",mostly true
"„Honig ist das einzige Lebensmittel, dass nie verdirbt. Ihr könntet also durchaus Honig essen, der 3.000 Jahre alt ist“",mostly false
Yurtiçi tasarrufları AK Parti iktidarı döneminde cumhuriyet tarihinin en düşük seviyesine düştü.,mostly true
"Türkiye’de 2009’dan bu yana 100 olan milli gelir nispet olarak 120’ye çıktı, aynı dönemde Avrupa’da 100’den 98’e geriledi, negatif büyüme var.",false
Başbakanlık Osmanlı Arşivleri'nin eski binasının otele dönüştürüldüğü iddiası,true
Paris'teki İnsan Müzesi'nde Cezayirliler'in kafataslarının sergilendiği iddiası,mostly false
"Derlenen verilere göre, 2008’de 256 bin (…) 2017 yılında 600 bin dolayında olan hırsızlık vakası toplumu can ve mal güvenliği açısından tedirgin etmektedir.",mostly true
CMK uyarınca Cumhurbaşkanı’na hakaret tutuklama nedenleri arasında değil,mostly true
Vögel in Thurgau angeblich wegen 5G gestorben,false
"62. hükümet programında köylüler, çiftçilerle ilgili vaatleri göremedik",mostly false
"Türkiye’de İngiltere, Fransa ve İtalya dahil AB ülkelerinin her birinden daha fazla sebze ve meyve üretiliyor. Nüfusu, Türkiye nüfusundan fazla olan Almanya'ya kıyasla Türkiye'de 9 kat fazla üretim yapılıyor.",true
"Aile gelirinin borca oranı 2002’de yüzde 4,7’ydi. Şimdi bu oran yüzde 57.",mostly true
"Für Elektroautos von „Grünen-Wählern“: Angebliche Geschichte eines Jungen aus dem Kongo, der täglich „zwölf Stunden für ein bis zwei Dollar am Tag in einer Kobaltmine“ arbeite",mostly false
Sofija Milosevic'in bebeği için 4 milyon euroya gökten yıldız satın aldığı iddiası,false
Türkiye milli gelire oranla dünyanın en fazla insani yardımını yapan ülkesidir.,mostly true
2002 yılından bu yana Türkiye’de gelir dağılımı düzeliyor. G20 ülkelerinde ise gelir dağılımı bozuluyor.,false
Fethullah Gülen 1997'de başkanlık sistemine sıcak baktığını söyledi iddiası,true
Zitat von Robert Habeck: „Vaterlandsliebe fand ich stets zum Kotzen. Ich wusste mit Deutschland noch nie etwas anzufangen und weiß es bis heute nicht.“,true
"Yenilenebilir enerji kaynaklarından elektrik üretiminde, yüzde 31’lik artışla, Avrupa başta olmak üzere birçok ülkeyi geride bıraktık.",mostly true
Sokağa çıkma yasakları sırasında 158 sivil hayatını kaybetti.,true
Eine „Mörderbande” und „islamistische Soldateska” haben eine Frau in Zittau ermordet.,false
"Ülkemiz hala OECD ülkelerinin doğumda beklenen yaşam süresine ulaşamamıştır, üstelik bu haliyle ulaşması da beklenmemektedir.",mostly true
Borsa İstanbul (BIST100) tarihinde ilk kez 13 gün kesintisiz artarak tarihinin en uzun soluklu yükselişini gerçekleştirdi,true
"Berlin, Paris, Tokyo, Londra ne kadar güvenliyse Türkiye'nin şehirleri de o kadar güvenlidir.",mostly false
1.000 Anzeigen gegen Angela Merkel wegen Immunität oder korrupten Gerichten zurückgewiesen.,mostly false
Suudi Arabistan'da şişme havuz reklamındakilerin sansürlendiği iddiası,true
Faili meçhulleri bu ülkede AK Parti bitirdi.,false
Türkiye toplam hasta sayısına göre ölüm oranı bakımından da Avrupa’daki en iyi ülke konumundadır,mostly false
Fotoğrafların Yassıada'nın eski ve yeni halini gösterdiği iddiası,true
Türkiye iş cinayetlerine rekora koşuyor. Sadece Ağustos ayında 158 işçi hayatını yitirdi.,mostly true
"Geçen yıl aynı dönemde 1,8 milyar TL faiz dışı fazla varken, bu yıl faiz dışı bütçe açığı da 12,3 milyar TL’ ye ulaşarak yeni bir rekora imza atmıştır.",true
Cumhuriyet tarihinde 79 senede 6 bin kilometre yol yapılmışken 12 senede 17 bin kilometre yolu nasıl yaptıysak...,mostly false
یک چهارم زنان در جامعه ما تحصیلات دانشگاهی دارند.,true
Türkiye Maastricht ile Kopenhag kriterlerini gerçekleştirdi ve birçok AB ülkesinden de iyi konumda.,false
Hemen her şehirde ihracat artışının 5 kattan daha az olduğu şehir görmedim. 1 milyar doları aşan ihracat yapan şehirlerimizin sayısı 5’ten 16’ya çıkmış,mostly false
dünyada azalan et fiyatları Türkiye'de artmaya devam ediyor.,true
"Zwei Drittel der 1,1 Milliarden Menschen in Subahara-Afrika sind auswanderungswillig.",false
"12 yılda bir ülke GSYH’sını 4 kat artırdıysa, ihracatını neredeyse 4 katın üzerine çıkarmayı başardıysa bu son derece önemlidir",mostly false
PCR testlerinin yüzde 50 yanlış pozitif sonuç verdiği iddiası,false
"AK Parti 56 ilde birinci oldu. 23 ilde ikinci parti, sadece 2 ilde 3. parti. CHP ise 37 ilde temsil edilmiyor.",true
(Rusya ile) Geçtiğimiz yıl ticaret hacmimizde yüzde 30'luk artış sağladık.,true
"Foto zeigt, wie Flüchtling Selfie im brennenden Lager Moria macht",false
"Türkiye’nin nüfusu 78 milyon, acile başvuru 112 milyon.",true
Fotoğrafın Kemal Kılıçdaroğlu’nun 'SSK özürlü kartını' gösterdiği iddiası,false
2013 yılı sonu itibariyle toplam 21 dağıtım bölgesinde 32 milyar kwh’lik bir enerji kaybımız söz konusu. Bu toplam 229 milyar kwh’lik brüt tüketimin neredeyse yüzde 15'ine yakın.,true
Krefeld: Mehr als 1400 Euro für einen Asylbewerber pro Tag,mostly false
...son on iki yılda TİKA yurt dışı ofis sayımız 12'den 49'a çıkartılmıştır.,mostly true
Rolf Kron: Corona Virus - Hat der Wahnsinn System?,mostly false
Ermeni hastaya Ermeni donör: Kemik iliği nakli için aynı ırktan mı olmak gerekiyor?,mostly false
Mh...lese ich da tatsächlich chemtrailzusatz...,false
The Simpsons Çin'de ortaya çıkan koronavirüsü önceden bildi mi?,false
"Finlandiya’da milli gelirin yüzde 10,3'ü emekliye veriliyor. Türkiye'de ise bu oran 7,5",mostly true
Videonun Suriye'deki bir stadyumda 'Çav Bella' şarkısını söyleyen taraftarları gösterdiği iddiası,true
"Türkiye, 7 Haziran seçimlerini uluslararası standartlarca demokratik olarak gerçekleştirmiştir.",false
YGS'ye girmek için çipli kimlik kartı gerektiği iddiası,false
Enerji talep artışında OECD ülkeleri arasında dünyada Çin'in ardından ikinci sıradayız.,mostly true
"Avrupa’da nikahları kim kıyıyor, Hristiyan batı dünyasında? Amerika’da kim kıyıyor nikahları? Burada herkes kilisede nikah kıydırıyor. Kilisenin dışında bir yerde nikah kıyılıyor mu? Hayır",false
"In Amberg (BY) prügelt eine Gruppe junger Asylbewerber wahl-und grundlos Passanten krankenhausreif. 12 Opfer, darunter auch Kinder. Presse und Politik kein Wort",false
"2002 yılında 500 bin senet vadesinde ödenmediği için protesto edilmişti, şimdi bu miktar tam 1 milyona çıktı.",true
Jeder Vierte Berliner ist ein Ausländer” titelt die Berliner Zeitung „B.Z.”.,mostly true
"Türkiye havacılıkta dünyada 11., Avrupa’da 5. sıraya yükseldi. THY Avrupa’nın 2. büyük şirketi haline geldi.",mostly true
"15 ile 64 yaş arası Türkiye’de hayatında 1 kere uyuşturucu denemiş kişilerin oranı yüzde 2,7",true
Kamuda çalışan 800 bin taşeron işçisi var.,mostly true
2013'ün ilk çeyreğinden 2014'ün ilk çeyreğine kadar olan dönemde Türkiye'de çalışan sayısı 1 milyon 300 bin kişi artmış durumda.,mostly false
"AfD-Chef Jörg Meuthen über Anschlag in Hanau: „Das war weder rechter, noch linker Terror, das ist die wahnhafte Tat eines offenkundig Irren“",mostly false
بر اساس پیش‌بینی صندوق بین‌المللی پول ایران تا ۳ سال دیگر پانزدهمین اقتصاد بزرگ دنیا می‌شود,mostly false
63 yaşındaki kadının mürekkep balığından hamile kaldığı iddiası,false
"Doktora seviyesinde -ki bu AR-GE merkezleri için en önemli kaynak kişileri oluşturur- mezuniyetler arasında, 39 ülke arasında 35'inci sıradayız maalesef.",mostly true
Aufruf zu Verkehrsunfall in Bulgarien,mostly false
(Türkiye) Yolsuzluk Algılama Endeksi'nde 2003 yılında 133 ülke arasında 77'nci sırada yer alırken 2013 yılında 50'nci sıraya yükselmiştir.,mostly false
اسراییل با داشتن زرادخانه هسته‌ای، دیگران را به نابودی با سلاح هسته‌ای تهدید می‌کند.,mostly true
100 gençten 27’si hem okula gitmiyor hem de çalışmıyor.,mostly true
AKP'li yıllarda tarımsal üretim yerinde saymış; hatta bazı ürünlerde gerilemiştir.,mostly true
"580 Meter lange Strasse in Hamburg für Diesel gesperrt, Ausweichroute 3,4 Kilometer lang",mostly true
İŞKUR'un 7 bin 400 Suriyeli istihdam edeceği iddiası,false
Cumhurbaşkanlığı Hükümet Sistemi’nde tarımsal hasılamız %46 artışla 2017'de 189 milyar TL’den 2019'da 277 milyara geldi. Denilebilirki ya işte dövizde de artış oldu ama reel değil. Dövizde de %10'luk bir artış var. 44 milyar $’dan 48 milyar $’a ciddi bir artış var,mostly false
"Toplam istihdam oranındaki artış 3 puanı bulmasına rağmen işgücüne katılımdaki bu yükseliş sebebiyle işsizlik rakamlarımız nispeten yüksek çıkıyor. Bunun sebebi bizim istihdam oluşturamamış olmamız değildir, mesele işgücüne katılım oranının eskisine göre fevkalade yükselmiş olmasıdır",mostly false
Trump’ın “Türkiye’deki darbe girişimine CIA yardım etti” dediği iddiası gerçek değil,false
"Türkiye, 2020 itibarıyla uygulanan asgari ücretin satın alma gücü paritesine göre birçok Avrupa ülkesini geride bıraktı",true
"Enerji alanında geldiğimiz önemli seviyeye rağmen AB müzakerelerinde tıkanan fasıllardan birinin enerji olmasını da manidar buluyorum. Eksik ne söyleyin, cevap yok.",mostly true
Moslem- Bande prügelt Mann (20) halbtot – 7 Monate Bewährung!,mostly false
Çamlıca Tepesi'ndeki tahribat iddiası ve karşılaştırmalı fotoğrafları,mostly false
"Makroekonomik göstergelerin hemen hemen hepsinde kur ataklarını yaşadığımız ağustos ayı öncesine, o sürece ve o döneme geldik.",false
Deutschland lehnt jegliche Hilfe aus China zur Bekämpfung der Pandemie ab,false
Foto zeigt: Angela Merkel und Ursula von der Leyen halten keinen Abstand,false
Fotoğrafın oğlunun şehit olduğu haberini alan ayakkabı boyacısını gösterdiği iddiası,false
"Dünyanın en uzun dördüncü tüneli, Rize’nin 138 yıllık rüyası ""Ovit Tüneli"" vatanımıza milletimize hayırlı olsun.",mostly false
"Bundestag hat beschlossen, den Ausnahmezustand der Pandemie bis März 2022 zu verlängern",mostly false
Tablonun bazı illerdeki koronavirüs vakalarını gösterdiği iddiası,false
"Dünyanın ilk 10 ekonomisi arasına girme hedefi olan Türkiye, 17.likten 18.sıraya düşmüştür",mostly true
131 bin 746 Suriyeli'nin üniversiteye yerleştirildiği iddiası,false
ضریب هوشی ایرانی‌ها قبلا ۱۰۴ بود و ایران بین چهار یا پنج کشور برجسته بود، الان ضریب هوشی ۸۴ و رتبه ایران ۶۸ است.,false
Türkiye’de 24 bin gazeteciden 9 bini işsiz. Türkiye’deki işsizlik rekoru gazetecilik mesleğine ait.,mostly false
"2002’de faiz harcamaları, vergi gelirlerimizin yüzde 86'sına karşılık geliyordu. Bir başka ifadeyle, topladığımız her 100 liralık verginin 86 lirasını faiz ödemesine ayırıyorduk. 2017 kesin rakamları itibarıyla bu oran yüzde 10'lar seviyesine geriledi.",true
درآمد پزشکان ایرانی (با احتساب برابری قدرت خرید) بیش از همه جای دنیا است.,mostly true
L’Oréal Paris ve Maybelline’in Türkiye’den çekileceği iddiası,false
"İstanbul, Türkiye'nin vergisinin yüzde 50'sini veriyor ama yüzde 10'unu bile almıyor.",mostly true
Mehmet Şimşek’in “Türkiye Esad’sız bir anlaşmada ısrar edemez” dediği iddiası,true
Merkel warnt vor „Angriff“ der Migranten auf Europa,mostly false
Flüchtling mit Schild auf dem steht: „Ich habe meinen 2 jährigen Sohn seit vier Jahren nicht gesehen“,false
"Masken schützen nicht, sondern führen zu Atemnot durch Einatmen des ausgeatmeten CO2, Bronchialbeschwerden, Gerstenkorn, Hautjucken, Hautrötung und Pickelbildung",mostly false
Videonun Suriye'deki bir stadyumda 'Çav Bella' şarkısını söyleyen taraftarları gösterdiği iddiası,true
Hund wurde in Flüchtlingslager zu Tode vergewaltigt.,false
"Dalai Lama erklärt: „Ich denke, Europa gehört den Europäern“ – Asylanten zurück in die Herkunftsländer",true
okuma yazma oranınımız neredeyse yüzde 100'lere yaklaştı,mostly true
"Ortaöğretime geçişte sınavla öğrenci alacak 1.367 ‘nitelikli’ okulun 297’si imam-hatip lisesi, 449’u meslek lisesi olmuş; 34 ilde ise Anadolu lisesi hiç belirlenmemiş.",true
"HES’lerden ilk 4,5 aylık dönemde gerçekleşen yüzde 29,4'lük üretim, yıllık bazda 2005'ten beri gerçekleşen en yüksek oranı oluşturuyor.",true
Linke und Grüne boykottierten Schweigeminute für getöteten Buben,mostly true
Bir milyon 350 bin Suriyeli var ve hiçbir kontrol ve kayıt yok,mostly true
Slyvia Löhrmann wechselt von Dienstwagen in Hybrid-Auto,mostly true
"Laiklik bir kere yeni anayasada olmamalıdır. Dünyada üç anayasada laiklik var. Fransa, İrlanda, bir de Türkiye'de var.",false
Avrupa ve ABD’deki uygulamalarda hiçbir gösteride maske kullanılamaz. Maske kullanan alıp götürülecek,mostly true
Dünya’da kendi vatandaşına ücret almadan hava ambulans hizmeti veren tek ülke biziz.,false
İlginç ama gerçek: 2018’den 5 doğru bilgi,true
"Prügelattacken auf Deutsche in Neuruppin, Rheinsberg und Lindow",mostly false
2002 sonunda 230 milyar dolar milli gelirle yola çıktık. Şimdi üç kattan fazlasıyla dikkat edin 820 milyar dolara ulaştık.,mostly false
Personen in Schutzanzügen geben sich als Mitarbeiter des Gesundheitsamts aus,true
"Bu iktidar elinde, iki Trakya’dan daha büyük bir alan artık ekilip biçilmiyor.",mostly true
"BBG LIVE ist hier: REWE (Karlsplatz 25, Bernburg).",true
"Türkiye'de, 2015'te nişasta bazlı şekerin üretim kotası yüzde 30 arttırıldı. AB'de ise kota yüzde 2-3 oranında.",mostly false
Coronavirus: China ordnet Schlachtung von Haustieren an,mostly false
Video Yeni Zelanda'daki saldırıdan sonra Müslüman olan genci mi gösteriyor?,false
2002'de yüzde 72'ye ulaşan kamu borç stokunun milli gelire oranını 2016'da yüzde 28'e kadar düşürdük. Bu oranla Avrupa'nın en iyi durumda olan ülkeleri arasındayız.,true
"2002-2012 yılları arasında küresel reel büyüme oranı ortalama yüzde 2.7 olarak gerçekleşmişken, İslam ülkeleri aynı dönemde ortalama yüzde 5,4 büyüdü.",true
درستی‌سنجی اینفوگرافی ایرنا درباره هواپیمای اوکراینی,mostly false
Der „Star-Autor“ Tim Dillinger habe seine Teilnahme bei der Goldenen Kamera abgesagt.,false
12 yaşındaki her çocuğun kolesterol ilacı alması tavsiye edilmiyor,false
18 yıl önce 45 lira olan kredi-burs miktarını bu yıl 550 liraya yükselttik,mostly true
Geflüchtete und Muslime zerstören einen Weihnachtsbaum in einem deutschen oder europäischen Einkaufszentrum,false
بیل گیتس می‌خواهد از واکسن‌ها برای کاهش جمعیت جهان استفاده کند.,false
Emeklilere verilen 1000 TL’lik bayram ikramiyesinin bazı kişilere eksik yattığı iddiası,true
Flüchtlinge sind Schuld an einer Epidemie von Hepatitis-A-Fällen in Europa.,false
AB ile 150 milyar dolarlık ticaret hacmimiz var.,true
"Sonuçları itibariyle, dün gece Meclis'ten, Sayın Egemen Bağış'ın Yüce Divan'a sevk edilmemesi yönünde bir karar çıkmış değildir.",false
Cumhurbaşkanlığı Külliyesi'nde zikir,true
Seehofer will ganze Terror-Sippen nach Deutschland importieren.,mostly false
